date,hospitalCases,newAdmissions,newCasesByPublishDate,retail_and_recreation_change,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-05-18,10231.0,850.0,2684,-63.0,-20.0,36.0,-59.0,-59.0,22.0
2020-05-19,10013.0,881.0,2412,-64.0,-18.0,51.0,-57.0,-59.0,22.0
2020-05-20,9563.0,851.0,2472,-64.0,-16.0,68.0,-56.0,-59.0,22.0
2020-05-21,9293.0,841.0,2615,-64.0,-16.0,51.0,-58.0,-59.0,23.0
2020-05-22,9184.0,740.0,3287,-66.0,-18.0,14.0,-59.0,-58.0,24.0
2020-05-23,8814.0,643.0,2959,-72.0,-23.0,-12.0,-59.0,-41.0,15.0
2020-05-24,8814.0,587.0,2409,-71.0,-25.0,38.0,-52.0,-36.0,11.0
2020-05-25,8836.0,602.0,1625,-64.0,-23.0,136.0,-60.0,-77.0,24.0
2020-05-26,8732.0,698.0,2004,-60.0,-14.0,66.0,-55.0,-59.0,21.0
2020-05-27,8220.0,712.0,2013,-61.0,-15.0,65.0,-55.0,-58.0,22.0
2020-05-28,7907.0,703.0,1887,-60.0,-12.0,77.0,-55.0,-58.0,22.0
2020-05-29,7586.0,615.0,2095,-62.0,-12.0,67.0,-53.0,-56.0,22.0
2020-05-30,7268.0,568.0,2445,-69.0,-16.0,48.0,-49.0,-31.0,12.0
2020-05-31,7238.0,529.0,1936,-67.0,-19.0,67.0,-45.0,-26.0,9.0
2020-06-01,7248.0,604.0,1570,-56.0,-13.0,74.0,-51.0,-53.0,19.0
2020-06-02,7087.0,668.0,1613,-59.0,-15.0,78.0,-51.0,-54.0,19.0
2020-06-03,6815.0,634.0,1871,-62.0,-19.0,0.0,-57.0,-54.0,22.0
2020-06-04,6580.0,566.0,1805,-61.0,-17.0,19.0,-56.0,-54.0,22.0
2020-06-05,6379.0,475.0,1650,-63.0,-17.0,9.0,-56.0,-53.0,22.0
2020-06-06,6149.0,407.0,1557,-70.0,-22.0,-17.0,-57.0,-33.0,14.0
2020-06-07,5944.0,408.0,1326,-67.0,-23.0,22.0,-51.0,-28.0,10.0
2020-06-08,5931.0,412.0,1205,-56.0,-17.0,44.0,-54.0,-52.0,19.0
2020-06-09,5736.0,494.0,1387,-58.0,-17.0,56.0,-53.0,-52.0,20.0
2020-06-10,5475.0,512.0,1003,-61.0,-19.0,-1.0,-58.0,-52.0,21.0
2020-06-11,5179.0,446.0,1266,-59.0,-17.0,15.0,-58.0,-52.0,21.0
2020-06-12,5090.0,394.0,1541,-61.0,-17.0,6.0,-57.0,-51.0,21.0
2020-06-13,4941.0,386.0,1425,-65.0,-17.0,41.0,-49.0,-24.0,11.0
2020-06-14,4908.0,364.0,1514,-63.0,-20.0,65.0,-46.0,-19.0,8.0
2020-06-15,4870.0,440.0,1056,-46.0,-14.0,63.0,-50.0,-50.0,18.0
2020-06-16,4863.0,456.0,1279,-50.0,-13.0,53.0,-51.0,-50.0,19.0
2020-06-17,4719.0,433.0,1115,-52.0,-14.0,34.0,-52.0,-50.0,19.0
2020-06-18,4560.0,405.0,1218,-54.0,-15.0,8.0,-56.0,-52.0,20.0
2020-06-19,4414.0,336.0,1346,-53.0,-11.0,20.0,-52.0,-50.0,19.0
2020-06-20,4252.0,257.0,1295,-57.0,-10.0,49.0,-43.0,-20.0,9.0
2020-06-21,4222.0,288.0,1221,-58.0,-17.0,37.0,-44.0,-14.0,7.0
2020-06-22,4281.0,395.0,958,-45.0,-13.0,72.0,-49.0,-51.0,17.0
2020-06-23,4134.0,363.0,874,-48.0,-10.0,90.0,-48.0,-51.0,17.0
