date,hospitalCases,newAdmissions,newCasesByPublishDate,retail_and_recreation_change,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-11-24,17424.0,1499.0,11299,-47.0,-10.0,3.0,-50.0,-38.0,15.0
2020-11-25,17132.0,1614.0,18213,-47.0,-12.0,-5.0,-51.0,-37.0,16.0
2020-11-26,16762.0,1426.0,17555,-46.0,-9.0,10.0,-51.0,-37.0,15.0
2020-11-27,16571.0,1280.0,16022,-47.0,-7.0,-2.0,-50.0,-38.0,16.0
2020-11-28,15985.0,1220.0,15871,-55.0,-12.0,-11.0,-55.0,-24.0,12.0
2020-11-29,16313.0,1389.0,12155,-53.0,-15.0,5.0,-54.0,-24.0,9.0
2020-11-30,16565.0,1406.0,12330,-41.0,-9.0,-9.0,-49.0,-37.0,14.0
2020-12-01,16312.0,1492.0,13430,-43.0,-7.0,7.0,-48.0,-36.0,14.0
2020-12-02,15977.0,1486.0,16170,-31.0,-6.0,-7.0,-45.0,-32.0,13.0
2020-12-03,15658.0,1502.0,14879,-34.0,-8.0,-20.0,-46.0,-33.0,14.0
2020-12-04,15727.0,1432.0,16298,-35.0,-5.0,-18.0,-44.0,-33.0,14.0
2020-12-05,15688.0,1378.0,15539,-36.0,-6.0,-8.0,-41.0,-13.0,8.0
2020-12-06,15960.0,1471.0,17272,-36.0,-10.0,1.0,-41.0,-13.0,7.0
2020-12-07,16415.0,1662.0,14718,-26.0,-5.0,-4.0,-43.0,-34.0,12.0
2020-12-08,16477.0,1783.0,12282,-31.0,-5.0,-7.0,-44.0,-33.0,12.0
2020-12-09,16331.0,1757.0,16578,-31.0,-5.0,-5.0,-44.0,-32.0,13.0
2020-12-10,16723.0,1754.0,20964,-32.0,-3.0,-1.0,-44.0,-33.0,13.0
2020-12-11,16885.0,1688.0,21672,-33.0,-2.0,-5.0,-41.0,-32.0,13.0
2020-12-12,16909.0,1799.0,21502,-37.0,-5.0,-5.0,-39.0,-12.0,8.0
2020-12-13,17538.0,1754.0,18447,-41.0,-13.0,-31.0,-45.0,-14.0,8.0
2020-12-14,18246.0,1956.0,20263,-25.0,-2.0,2.0,-42.0,-35.0,12.0
2020-12-15,18216.0,1958.0,18450,-25.0,0.0,10.0,-41.0,-34.0,12.0
2020-12-16,18671.0,2082.0,25161,-33.0,-3.0,-14.0,-46.0,-34.0,14.0
2020-12-17,18970.0,2144.0,35383,-29.0,2.0,12.0,-44.0,-35.0,13.0
2020-12-18,19117.0,1921.0,28507,-33.0,-1.0,-14.0,-45.0,-37.0,15.0
2020-12-19,19463.0,2045.0,27052,-40.0,-3.0,-10.0,-41.0,-13.0,8.0
2020-12-20,20004.0,2170.0,35928,-43.0,-7.0,5.0,-45.0,-13.0,7.0
2020-12-21,21133.0,2370.0,33364,-26.0,12.0,-8.0,-52.0,-49.0,16.0
2020-12-22,21488.0,2481.0,36804,-26.0,17.0,14.0,-52.0,-50.0,16.0
2020-12-23,21222.0,2279.0,39237,-27.0,23.0,-12.0,-54.0,-53.0,18.0
2020-12-24,21577.0,2082.0,39877,-35.0,14.0,19.0,-59.0,-65.0,21.0
2020-12-25,20918.0,2181.0,32725,-92.0,-89.0,-25.0,-85.0,-85.0,27.0
2020-12-26,21730.0,2530.0,35691,-81.0,-63.0,-34.0,-76.0,-54.0,15.0
2020-12-27,22764.0,2871.0,30501,-58.0,-24.0,3.0,-59.0,-29.0,10.0
2020-12-28,24049.0,3134.0,41385,-51.0,-24.0,16.0,-70.0,-77.0,26.0
2020-12-29,25549.0,3252.0,53135,-47.0,-11.0,14.0,-64.0,-68.0,24.0
2020-12-30,26551.0,3292.0,50023,-42.0,-3.0,18.0,-63.0,-66.0,23.0
2020-12-31,26578.0,2921.0,55892,-53.0,2.0,14.0,-67.0,-69.0,24.0
