areaCode,areaName,areaType,date,hospitalCases,newAdmissions,newCasesByPublishDate,newPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate
K02000001,United Kingdom,overview,2021-04-19,2006,177,2963,99672,273751
K02000001,United Kingdom,overview,2021-04-18,1982,141,1882,83225,221193
K02000001,United Kingdom,overview,2021-04-17,2034,158,2206,139445,499635
K02000001,United Kingdom,overview,2021-04-16,2139,157,2596,135557,499664
K02000001,United Kingdom,overview,2021-04-15,2194,161,2672,129782,417683
K02000001,United Kingdom,overview,2021-04-14,2294,196,2491,117835,343783
K02000001,United Kingdom,overview,2021-04-13,2407,181,2472,76123,312685
K02000001,United Kingdom,overview,2021-04-12,2491,205,3568,59905,201191
K02000001,United Kingdom,overview,2021-04-11,2548,202,1730,69223,189665
K02000001,United Kingdom,overview,2021-04-10,2649,184,2589,111109,475230
K02000001,United Kingdom,overview,2021-04-09,2792,204,3150,106878,450136
K02000001,United Kingdom,overview,2021-04-08,2871,207,3030,96242,449269
K02000001,United Kingdom,overview,2021-04-07,3018,235,2763,99530,408396
K02000001,United Kingdom,overview,2021-04-06,3142,223,2379,85227,186793
K02000001,United Kingdom,overview,2021-04-05,3254,234,2762,40744,64590
K02000001,United Kingdom,overview,2021-04-04,3228,196,2297,48055,47708
K02000001,United Kingdom,overview,2021-04-03,3243,222,3423,107886,178913
K02000001,United Kingdom,overview,2021-04-02,3375,237,3402,107420,246631
K02000001,United Kingdom,overview,2021-04-01,3556,234,4479,170818,445416
K02000001,United Kingdom,overview,2021-03-31,3741,269,4052,239434,387574
K02000001,United Kingdom,overview,2021-03-30,3975,256,4040,225917,277682
K02000001,United Kingdom,overview,2021-03-29,4196,250,4654,236809,168230
K02000001,United Kingdom,overview,2021-03-28,4184,272,3862,293548,147594
K02000001,United Kingdom,overview,2021-03-27,4435,271,4715,424301,238861
K02000001,United Kingdom,overview,2021-03-26,4485,298,6187,411305,283654
K02000001,United Kingdom,overview,2021-03-25,4583,338,6397,324942,234382
K02000001,United Kingdom,overview,2021-03-24,4880,348,5605,337665,242642
K02000001,United Kingdom,overview,2021-03-23,5150,366,5379,325650,169155
K02000001,United Kingdom,overview,2021-03-22,5431,360,5342,329897,82300
K02000001,United Kingdom,overview,2021-03-21,5448,357,5312,367006,52612
K02000001,United Kingdom,overview,2021-03-20,5567,364,5587,752308,91977
K02000001,United Kingdom,overview,2021-03-19,5880,381,4802,614930,125725
K02000001,United Kingdom,overview,2021-03-18,6150,449,6303,528260,132016
K02000001,United Kingdom,overview,2021-03-17,6585,446,5758,462246,119609
K02000001,United Kingdom,overview,2021-03-16,6847,440,5294,433320,95799
K02000001,United Kingdom,overview,2021-03-15,7207,500,5089,386685,53366
K02000001,United Kingdom,overview,2021-03-14,7315,425,4618,257010,25371
K02000001,United Kingdom,overview,2021-03-13,7384,461,5534,512108,52155
K02000001,United Kingdom,overview,2021-03-12,7728,480,6609,369578,87676
K02000001,United Kingdom,overview,2021-03-11,8066,550,6753,260809,93563
K02000001,United Kingdom,overview,2021-03-10,8436,567,5926,243887,97162
K02000001,United Kingdom,overview,2021-03-09,9009,579,5766,217301,72922
K02000001,United Kingdom,overview,2021-03-08,9474,577,4712,215273,38788
K02000001,United Kingdom,overview,2021-03-07,9459,535,5177,164143,20241
K02000001,United Kingdom,overview,2021-03-06,9711,637,6040,416834,31562
